"state","month_date","median_listing_price","new_listing_count","active_listing_count","pending_listing_count"
"wi",2016 Oct,178402.458333333,6412,34442,3812
"wv",2016 Oct,143141.418181818,1716,9441,1264
"wy",2016 Oct,281195.608695652,864,4387,704
"ak",2016 Nov,262173.769628262,557.371428571429,2991.17142857143,604
"al",2016 Nov,156757.8,5226,28012,2144
"ar",2016 Nov,122893.32,3130,16327,3073
"az",2016 Nov,243979.666666667,12068,30876,7232
"ca",2016 Nov,488933.465517241,33280,74415,33481
"co",2016 Nov,358207.140625,7780.10909090909,20517.5727272727,5492
"ct",2016 Nov,326175,3874,20376,4125
"dc",2016 Nov,567450,836,1427,472
"de",2016 Nov,264000,1342,6680,1585
"fl",2016 Nov,246443.791044776,40722,139396,48933
"ga",2016 Nov,174924.909853249,13262.6666666667,54435,13738
"hi",2016 Nov,675431.25,1674,5886,1698
"ia",2016 Nov,127773.98989899,3086,13263,3568
"id",2016 Nov,218631,2386,9928,605
"il",2016 Nov,122004.435643564,12308,55501,21001
"in",2016 Nov,130404.782608696,7066,25952,5381
"ks",2016 Nov,109855.80952381,2985.33333333333,10268.5208333333,2095
"ky",2016 Nov,144475.375,3888,16317,6518
"la",2016 Nov,182065.453125,3960,16749,3489
"ma",2016 Nov,622021.428571429,6106,19152,2637
"md",2016 Nov,290624.541666667,7562,24768,4595
"me",2016 Nov,217696.5625,1484,11621,961
"mi",2016 Nov,159164.156626506,9848,41797,1787
"mn",2016 Nov,174590.172413793,5860,20937,9367
"mo",2016 Nov,127090.104347826,6902,27428,7092
"ms",2016 Nov,139536.609756098,2298,12359,1914
"mt",2016 Nov,257368.396226415,1006,7152,1705
"nc",2016 Nov,225292.88,11804,55420,13462
"nd",2016 Nov,145616.638888889,594.444444444444,3276.44444444444,967
"ne",2016 Nov,144227.080672269,1698.78095238095,5015,3526
"nh",2016 Nov,258545.7,1636,7820,2382
"nj",2016 Nov,305937.523809524,10318,47680,5793
"nm",2016 Nov,193317.545454545,2164,11008,1221
"nv",2016 Nov,245857.8125,4286,11961,7480
"ny",2016 Nov,248173.790322581,13162,66110,14073
"oh",2016 Nov,137491.284090909,11480,40890,12999
"ok",2016 Nov,129427.526315789,4362,18051,3117
"or",2016 Nov,296685.277777778,4734,14859,654
"pa",2016 Nov,156052.776119403,12526,56691,15985
"ri",2016 Nov,388550,1136,3992,866
"sc",2016 Nov,191280.52173913,6850,30777,7466
"sd",2016 Nov,186525.602352766,674.363636363636,3399.36036036036,1239
"tn",2016 Nov,182331.042105263,8726,34481,5829
"tx",2016 Nov,190298.429659498,26920.8888888889,91921,34210
"ut",2016 Nov,298919.655172414,4200,11512,6325
"va",2016 Nov,242856.1015625,9218,39957,5529
"vt",2016 Nov,243757.142857143,692,6701,723
"wa",2016 Nov,295804.487179487,6652,17041,2170
"wi",2016 Nov,177192.736111111,6296,30779,3350
"wv",2016 Nov,141438.472727273,1404,9081,1153
"wy",2016 Nov,279856.47826087,628,4089,671
"ak",2016 Dec,261108.080368319,462.057142857143,2646.25714285714,624
"al",2016 Dec,152435.782089552,4496,27007,2056
"ar",2016 Dec,121741.253333333,2500,15712,2762
"az",2016 Dec,244779.6,10032,29792,6539
"ca",2016 Dec,493628.396551724,23016,64225,29588
"co",2016 Dec,365410.796875,5548.14545454545,17828.7636363636,4550
"ct",2016 Dec,319643.625,3116,18232,3451
"dc",2016 Dec,559000,484,1262,377
"de",2016 Dec,261890,912,6177,1458
"fl",2016 Dec,245730.134328358,35660,140361,45881
"ga",2016 Dec,177157.046121593,10061.3333333333,51317,13160
"hi",2016 Dec,698075,1508,5959,1552
"ia",2016 Dec,127954.04040404,2076,12270,3158
"id",2016 Dec,219601.227272727,1712,8902,555
"il",2016 Dec,118993.247524752,8576,49448,18189
"in",2016 Dec,127676.27173913,4856,23630,4791
"ks",2016 Dec,114609.495049505,1914,9395.91666666667,1929.8
"ky",2016 Dec,142294.5,2968,15146,5565
"la",2016 Dec,180262.078125,3432,16212,3173
"ma",2016 Dec,625275,3804,15808,1980
"md",2016 Dec,287473.916666667,5604,22002,4000
"me",2016 Dec,215218.75,1104,10433,800
"mi",2016 Dec,156820.289156627,7104,36876,1523
"mn",2016 Dec,172046.022988506,3676,17529,7517
"mo",2016 Dec,125924.347826087,5160,25348,6074
"ms",2016 Dec,140428.341463415,1752,11848,1712
"mt",2016 Dec,264839.814814815,764,6492,1374
"nc",2016 Dec,222241.53,9188,51380,11832
"nd",2016 Dec,149791.111111111,379.555555555556,2982.55555555556,967
"ne",2016 Dec,142702.842746401,1104.18571428571,4514.08333333333,3273
"nh",2016 Dec,256670,1048,6678,1907
"nj",2016 Dec,297992.761904762,8584,43518,5271
"nm",2016 Dec,185834.848484848,1724,10232,1138
"nv",2016 Dec,244254.375,3512,10807,6828
"ny",2016 Dec,246428.919354839,9968,60214,13220
"oh",2016 Dec,135606.147727273,8240,37177,11069
"ok",2016 Dec,128187.131578947,3448,17313,2774
"or",2016 Dec,300011.111111111,3484,12996,680
"pa",2016 Dec,154267.402985075,9216,51961,13644
"ri",2016 Dec,391660,740,3502,663
"sc",2016 Dec,189562.434782609,5228,29428,6788
"sd",2016 Dec,187561.477432805,428.727272727273,3031.72072072072,1225
"tn",2016 Dec,181740.347368421,6560,32382,5226
"tx",2016 Dec,188736.823364695,21291.1111111111,86326,30284.625
"ut",2016 Dec,304169.172413793,2768,10400,5527
"va",2016 Dec,243675.0703125,6992,35818,4772
"vt",2016 Dec,243042.714285714,592,6347,551
"wa",2016 Dec,294914.333333333,5500,14477,1841
"wi",2016 Dec,175285.069444444,3064,26785,2702
"wv",2016 Dec,139144.545454545,1024,8484,916
"wy",2016 Dec,279247.826086957,504,3795,587
"ak",2017 Jan,265765.448568791,692.742857142857,2367.34285714286,672
"al",2017 Jan,152308.808955224,6288,25641,1963
"ar",2017 Jan,122532.506666667,3660,14997,2640
"az",2017 Jan,245388.333333333,13250,29017,6218
"ca",2017 Jan,486610.706896552,33214,58479,24571
"co",2017 Jan,365774.453125,7454.18181818182,16238.9545454545,3998
"ct",2017 Jan,320068.75,4192,16357,2922
"dc",2017 Jan,575000,840,1124,345
"de",2017 Jan,261786,1402,5839,1326
"fl",2017 Jan,247291.940298507,47056,141558,44442
"ga",2017 Jan,178039.295597484,14664,47986,12023
"hi",2017 Jan,707250,1766,5930,917
"ia",2017 Jan,126719.121212121,3082,11563,2982
"id",2017 Jan,220547.25,1832,7718,488
"il",2017 Jan,119063.326732673,14166,45345,16866
"in",2017 Jan,127372.619565217,6482,21631,4380
"ks",2017 Jan,116586.417491749,2878.91666666667,8908.3125,1868.2
"ky",2017 Jan,142494.166666667,4288,14035,5160
"la",2017 Jan,182307.4375,4736,15757,3570
"ma",2017 Jan,638891.785714286,5634,14013,1895
"md",2017 Jan,285813.041666667,7292,20263,3613
"me",2017 Jan,212082.8125,1410,9503,687
"mi",2017 Jan,156023.253012048,8902,32676,1386
"mn",2017 Jan,172335.264367816,5534,15172,6680
"mo",2017 Jan,129578.713043478,6828,23203,5318
"ms",2017 Jan,139112.723577236,2690,11404,1665
"mt",2017 Jan,263777.413580247,1032.66666666667,5810.66666666667,1318
"nc",2017 Jan,222377.77,12654,47544,10900
"nd",2017 Jan,146514.683333333,649.666666666667,2669.66666666667,991
"ne",2017 Jan,146243.861572536,1501.59047619048,4113.16666666667,3010
"nh",2017 Jan,257842.4,1500,5787,1650
"nj",2017 Jan,294420.238095238,12128,40649,4974
"nm",2017 Jan,185729.363636364,2386,9667,1097
"nv",2017 Jan,247273,4560,10169,6174
"ny",2017 Jan,244875.790322581,13772,55097,12385
"oh",2017 Jan,135295.375,11008,34210,9914
"ok",2017 Jan,127319.342105263,4954,16792,2797
"or",2017 Jan,303482.305555556,4190,11338,628
"pa",2017 Jan,152989.895522388,12576,48161,12542
"ri",2017 Jan,398382,1138,3224,584
"sc",2017 Jan,189338.52173913,7788,28242,6467
"sd",2017 Jan,182288.897967389,653.090909090909,2720.08108108108,1237
"tn",2017 Jan,181729.368421053,8410,30313,4882
"tx",2017 Jan,189756.252208141,30318.3333333333,82637.5,27837.1928571429
"ut",2017 Jan,307266.24137931,3770,9411,5013
"va",2017 Jan,242665.671875,10074,33107,6051
"vt",2017 Jan,237787.5,700,5949,514
"wa",2017 Jan,295515.615384615,6794,12602,1671
"wi",2017 Jan,175062.5,4816,23873,2424
"wv",2017 Jan,137341.672727273,1388,8024,932
"wy",2017 Jan,292577.173913043,704,3455,566
"ak",2017 Feb,259107.926782418,757.428571428571,2394.42857142857,649
"al",2017 Feb,152883.179104478,7174,25777,2250
"ar",2017 Feb,124346.146666667,4282,15242,3092
"az",2017 Feb,247414.2,14448,29090,7625
"ca",2017 Feb,496042.534482759,36782,57979,28389
"co",2017 Feb,368914.65625,9156.21818181818,15859.1454545455,4623
"ct",2017 Feb,326965.625,4880,16262,3344
"dc",2017 Feb,574900,936,1207,414
"de",2017 Feb,262431,1724,5880,1460
"fl",2017 Feb,249314.925373134,47816,144437,52315
"ga",2017 Feb,178909.620545073,16904.6666666667,47602,14481
"hi",2017 Feb,710375,1850,5902,647
"ia",2017 Feb,130248.01010101,3748,11570,3433
"id",2017 Feb,220936.704545455,2618,7450,499
"il",2017 Feb,120214.940594059,18902,46175,20924
"in",2017 Feb,129827.467391304,8142,20880,5529
"ks",2017 Feb,114695.904290429,3735.83333333333,9011.70833333333,2115.6
"ky",2017 Feb,144826.433333333,4684,13749,6162
"la",2017 Feb,182854.109375,4956,15944,3998
"ma",2017 Feb,674364.142857143,6302,13657,2305
"md",2017 Feb,290354.083333333,8688,19709,4476
"me",2017 Feb,214493.9375,1506,9225,801
"mi",2017 Feb,159046.662650602,10388,31710,1543
"mn",2017 Feb,176302.735632184,7928,15191,8205
"mo",2017 Feb,121790.32173913,9018,23363,6602
"ms",2017 Feb,136308.788617886,3160,11675,1917
"mt",2017 Feb,261786.049382716,1319.33333333333,5762.33333333333,1540
"nc",2017 Feb,225525.38,16052,47565,13432
"nd",2017 Feb,148531.034858388,705.777777777778,2703.77777777778,1066
"ne",2017 Feb,149761.723988655,1884.99523809524,3976.15909090909,3248
"nh",2017 Feb,260647.4,1586,5600,1830
"nj",2017 Feb,300734.523809524,14460,41767,5547
"nm",2017 Feb,187145.212121212,2616,9493,1191
"nv",2017 Feb,248160.125,4914,9742,7093
"ny",2017 Feb,247001.516129032,17640,56041,12568
"oh",2017 Feb,137298.181818182,12918,32979,12002
"ok",2017 Feb,129607.399122807,5709.33333333333,16808.3333333333,3155
"or",2017 Feb,305058.666666667,5624,11018,574
"pa",2017 Feb,154705.686567164,15052,47021,14773
"ri",2017 Feb,400440,674,3162,664
"sc",2017 Feb,190487.956521739,9130,28960,7724
"sd",2017 Feb,175966.221532276,779.854545454545,2808.50810810811,1251
"tn",2017 Feb,183870.568421053,9856,30141,5404
"tx",2017 Feb,194420.982798899,34328.8888888889,83173.1666666667,33599.7607142857
"ut",2017 Feb,312157.068965517,4500,9001,5738
"va",2017 Feb,246375.4375,13144,33518,8410
"vt",2017 Feb,241741.071428571,834,5818,614
"wa",2017 Feb,300671,7590,11671,1844
"wi",2017 Feb,177878.847222222,6448,24336,3032
"wv",2017 Feb,136839.181818182,1652,7990,1069
"wy",2017 Feb,288194.391304348,778,3401,647
"ak",2017 Mar,271971.011720318,1030.11428571429,2466.51428571429,673
"al",2017 Mar,156001.034825871,7912,25955,2440
"ar",2017 Mar,126266.853333333,4178,15322,3218
"az",2017 Mar,252314.733333333,15082,28886,8610
"ca",2017 Mar,511408.051724138,43108,59070,32056
"co",2017 Mar,374191.53125,11660.2545454545,16383.3363636364,5321
"ct",2017 Mar,338418.75,6028,16895,4147
"dc",2017 Mar,599450,992,1236,450
"de",2017 Mar,265448.333333333,1864,5929,1756
"fl",2017 Mar,252034.388059701,47830,143601,57832
"ga",2017 Mar,179867.78197065,19683.3333333333,48005,16881
