"month_date","median_listing_price","new_listing_count","active_listing_count","pending_listing_count"
2022 May,316775.809925205,519775.211355311,475747.555332034,566286.27452478
2022 Jun,321070.483531759,527189.512820513,573645.779394127,547044.383618912
2022 Jul,318058.358189634,467803.176190476,688280.303456221,504297.826046378
2022 Aug,317816.258491461,416897.885714286,725307.617261905,490114.580973843
2022 Sep,317169.566070698,409588.546825397,729486.743253968,467230.731139404
2022 Oct,317151.995377249,353582.036507936,749747.593055556,413537.931304965
2022 Nov,314095.796925738,283852.442857143,746859.758333333,369924.839803859
2022 Dec,312843.255868702,202962.849206349,677258.581944444,320841.373302753
2023 Jan,312332.156770403,277156.922222222,614540.35,304621.695690536
2023 Feb,318395.281324876,300078.471428571,577328.284722222,371916.410935462
2023 Mar,324956.564458706,340008.884271284,560567.469444444,399111.300422812
2023 Apr,331608.841620951,369932.63044733,558027.791666667,431913.040539093
2023 May,333812.653135131,401928.126623377,579572.747222222,460178.34732204
2023 Jun,338830.324886777,392618.311688312,613301.975,455171.289819273
2023 Jul,339749.381697197,371484.58008658,641217.327777778,441388.69064984
2023 Aug,339859.677181273,371662.181818182,668522.305555556,435181.492522073
2023 Sep,338170.90288105,355581.412121212,700312.166666667,407819.17772764
2023 Oct,334253.335285416,345226.109090909,736630.166666667,382630.724044317
2023 Nov,329890.682853707,297317.472727273,753636.75,356733.770360995
2023 Dec,328956.462090756,221262.336363636,708896.25,320747.150011006
2024 Jan,331377.905859145,286810.2,664873.5,311633.493946731
2024 Feb,333150.751215128,335315.5,663590.75,368802.246973366
2024 Mar,336489.12033462,381302,689728,419201
